id,name,duration,firstYearRelease,countryOfOrigin,productionCompany,banner,genres
359,Aliens in the Attic,38,1956,Brazil,"O'Connell, Marquardt and Little",http://dummyimage.com/149x100.png/cc0000/ffffff,"[""Adventure"",""Children"",""Fantasy"",""Sci-Fi""]"
360,Glitter,102,1992,Portugal,Green-Oberbrunner,http://dummyimage.com/141x100.png/5fa2dd/ffffff,"[""Drama"",""Musical"",""Romance""]"
361,White Fang 2: Myth of the White Wolf,16,1987,Russia,"Langworth, Murphy and Gorczany",http://dummyimage.com/245x100.png/cc0000/ffffff,"[""Adventure"",""Children""]"
362,Priest,55,1956,Czech Republic,Prohaska-Auer,http://dummyimage.com/232x100.png/5fa2dd/ffffff,"[""Drama""]"
363,"Bucket List, The",192,1985,Nigeria,"Feest, Thiel and Cassin",http://dummyimage.com/202x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama""]"
364,Dead Tired (Grosse Fatigue),151,2001,Nigeria,Hammes and Sons,http://dummyimage.com/107x100.png/5fa2dd/ffffff,"[""Comedy""]"
365,King Rat,110,1998,China,Baumbach-Littel,http://dummyimage.com/231x100.png/cc0000/ffffff,"[""Drama"",""War""]"
366,Manufacturing Consent: Noam Chomsky and the Media,166,1959,Brazil,Schiller-Wolf,http://dummyimage.com/228x100.png/ff4444/ffffff,"[""Documentary"",""War""]"
367,Martin & Orloff,24,1969,Senegal,Marquardt-Wolf,http://dummyimage.com/189x100.png/cc0000/ffffff,"[""Comedy""]"
368,Rosencrantz and Guildenstern Are Undead,41,1977,China,Kreiger and Sons,http://dummyimage.com/149x100.png/ff4444/ffffff,"[""Comedy"",""Horror""]"
369,Thrilla in Manila,127,1991,South Korea,Klein-Roberts,http://dummyimage.com/223x100.png/cc0000/ffffff,"[""Documentary""]"
370,Violet Tendencies,195,1988,China,Leffler and Sons,http://dummyimage.com/250x100.png/dddddd/000000,"[""Comedy"",""Drama"",""Romance""]"
371,Like Mike 2: Streetball,65,2019,Kuwait,"Hegmann, Gulgowski and Gorczany",http://dummyimage.com/156x100.png/ff4444/ffffff,"[""Children"",""Comedy""]"
372,"Yards, The",27,2020,Sweden,Hauck-Batz,http://dummyimage.com/118x100.png/5fa2dd/ffffff,"[""Crime"",""Drama""]"
373,Captives,96,2012,Mexico,Ritchie-Champlin,http://dummyimage.com/125x100.png/5fa2dd/ffffff,"[""Crime"",""Drama"",""Romance"",""Thriller""]"
374,Teen Beach Movie,126,1971,Ivory Coast,Pfeffer Inc,http://dummyimage.com/178x100.png/dddddd/000000,"[""Children"",""Musical""]"
375,"Call, The",117,2005,China,Satterfield Group,http://dummyimage.com/177x100.png/5fa2dd/ffffff,"[""Drama"",""Thriller""]"
376,After Image (Seeing in the Dark),35,1992,Armenia,"Bashirian, Farrell and Batz",http://dummyimage.com/207x100.png/dddddd/000000,"[""Drama"",""Thriller""]"
377,"Substitute, The",161,1965,China,Walker-Mann,http://dummyimage.com/171x100.png/5fa2dd/ffffff,"[""Action"",""Crime"",""Drama""]"
378,Crumb,71,1979,Philippines,Hermiston-Gorczany,http://dummyimage.com/233x100.png/5fa2dd/ffffff,"[""Documentary""]"
379,Don't Torture a Duckling (Non si sevizia un paperino),170,1980,Portugal,Daugherty-Champlin,http://dummyimage.com/147x100.png/ff4444/ffffff,"[""Horror"",""Mystery"",""Thriller""]"
380,Finding Forrester,142,1966,Poland,Auer-Tromp,http://dummyimage.com/240x100.png/dddddd/000000,"[""Drama""]"
381,"Villain, The",109,1976,Russia,Wisoky LLC,http://dummyimage.com/225x100.png/5fa2dd/ffffff,"[""Comedy"",""Western""]"
382,Dom Hemingway,131,1954,Indonesia,Murphy-Brakus,http://dummyimage.com/162x100.png/cc0000/ffffff,"[""Comedy"",""Crime"",""Drama""]"
383,Shinobi No Mono 3: Resurrection (Shin shinobi no mono),136,1971,Indonesia,Schulist Group,http://dummyimage.com/172x100.png/dddddd/000000,"[""Action"",""Drama""]"
384,"Rocket, The (a.k.a. Maurice Richard)",33,2009,Philippines,Renner-Ernser,http://dummyimage.com/131x100.png/ff4444/ffffff,"[""Drama""]"
385,Heart of a Dog (Sobachye serdtse),70,1986,Japan,"Rolfson, Swift and Luettgen",http://dummyimage.com/183x100.png/ff4444/ffffff,"[""Comedy"",""Drama"",""Sci-Fi""]"
386,Whitecoats,158,1952,China,"Terry, Smith and Klocko",http://dummyimage.com/199x100.png/cc0000/ffffff,"[""Comedy""]"
387,Buddy,158,2016,China,"Kshlerin, Douglas and Schaefer",http://dummyimage.com/197x100.png/dddddd/000000,"[""Adventure"",""Children"",""Drama""]"
388,Once Upon a Honeymoon,149,2002,Philippines,"Morar, Rippin and Bernier",http://dummyimage.com/123x100.png/5fa2dd/ffffff,"[""Comedy"",""Mystery"",""Romance""]"
389,Disfigured,35,2003,Mongolia,Mosciski-Littel,http://dummyimage.com/170x100.png/5fa2dd/ffffff,"[""Drama""]"
390,Caribe,27,1973,Brazil,Harber LLC,http://dummyimage.com/195x100.png/cc0000/ffffff,"[""Drama"",""Mystery"",""Romance""]"
391,"Hunger Games, The",65,1991,Vietnam,Murray LLC,http://dummyimage.com/176x100.png/5fa2dd/ffffff,"[""Action"",""Adventure"",""Drama"",""Sci-Fi"",""Thriller""]"
392,10.5,51,1996,Poland,"Beahan, Koepp and Wilkinson",http://dummyimage.com/250x100.png/dddddd/000000,"[""Action"",""Drama""]"
393,Legend of the Eight Samurai (Satomi hakken-den),67,1966,China,Jacobi and Sons,http://dummyimage.com/119x100.png/ff4444/ffffff,"[""Action"",""Adventure"",""Drama"",""Fantasy""]"
394,Dr. Jekyll and Mr. Hyde,17,1971,Brazil,Kuhn and Sons,http://dummyimage.com/182x100.png/dddddd/000000,"[""Drama"",""Horror""]"
395,Teenagers from Outer Space,26,1955,Canada,"Wisozk, Tillman and Metz",http://dummyimage.com/208x100.png/5fa2dd/ffffff,"[""Horror"",""Sci-Fi""]"
396,I Love Your Work,84,1995,Indonesia,"Nicolas, Waters and Cummings",http://dummyimage.com/208x100.png/cc0000/ffffff,"[""Drama"",""Mystery""]"
397,Frozen,31,2013,Argentina,"Schuppe, Pfeffer and Weissnat",http://dummyimage.com/160x100.png/ff4444/ffffff,"[""Adventure"",""Animation"",""Comedy"",""Fantasy"",""Musical"",""Romance""]"
398,Snake River Desperadoes,129,1999,Finland,Robel-Bailey,http://dummyimage.com/225x100.png/5fa2dd/ffffff,"[""Western""]"
399,"Corn Is Green, The",16,1961,Indonesia,Welch-Hansen,http://dummyimage.com/130x100.png/5fa2dd/ffffff,"[""Drama""]"
400,"Sun, The (Solntse)",56,1966,Norway,McGlynn-Bogan,http://dummyimage.com/237x100.png/ff4444/ffffff,"[""Drama""]"
401,Bey Yaar,133,1959,Philippines,Stokes Inc,http://dummyimage.com/161x100.png/ff4444/ffffff,"[""Children"",""Comedy"",""Drama""]"
402,Ju-on: The Grudge,171,2010,Poland,"Bailey, Quitzon and Hintz",http://dummyimage.com/140x100.png/5fa2dd/ffffff,"[""Horror""]"
403,Von Ryan's Express,46,1980,Uzbekistan,Botsford and Sons,http://dummyimage.com/114x100.png/dddddd/000000,"[""Action"",""Adventure"",""Drama"",""War""]"
404,"Suddenly, Last Summer",143,1955,China,Kilback-Hane,http://dummyimage.com/236x100.png/ff4444/ffffff,"[""Drama""]"
405,"Romantics, The",73,2005,Germany,"Sanford, Kuhn and Stiedemann",http://dummyimage.com/243x100.png/ff4444/ffffff,"[""Comedy"",""Drama"",""Romance""]"
406,No Strings Attached,69,2010,Bulgaria,"Miller, Koss and Carter",http://dummyimage.com/126x100.png/ff4444/ffffff,"[""Comedy"",""Romance""]"
407,Neil Young Journeys,85,1969,Brazil,Hammes-Welch,http://dummyimage.com/111x100.png/cc0000/ffffff,"[""Documentary""]"
408,Fatherland,194,1990,Colombia,Becker Inc,http://dummyimage.com/198x100.png/dddddd/000000,"[""Action"",""Drama""]"
409,This Ain't California,64,2003,Iran,Murray Inc,http://dummyimage.com/178x100.png/dddddd/000000,"[""Documentary""]"
410,Bloody Bloody Bible Camp,60,1986,Germany,Sawayn Group,http://dummyimage.com/213x100.png/5fa2dd/ffffff,"[""Comedy"",""Horror""]"
411,"Molly Maguires, The",166,1952,Indonesia,"Graham, Bernier and Pagac",http://dummyimage.com/176x100.png/5fa2dd/ffffff,"[""Drama""]"
412,Step Up Love Story (Futari ecchi),51,1957,Brazil,"Kertzmann, Bailey and Hodkiewicz",http://dummyimage.com/141x100.png/5fa2dd/ffffff,"[""Animation"",""Comedy"",""Romance""]"
413,Haunted Honeymoon,157,1951,Cameroon,Parisian-Dach,http://dummyimage.com/233x100.png/ff4444/ffffff,"[""Comedy""]"
414,Now You See Me,93,1983,Portugal,Leannon LLC,http://dummyimage.com/185x100.png/cc0000/ffffff,"[""Crime"",""Mystery"",""Thriller""]"
415,Falling Angels,84,1959,Ukraine,Okuneva Group,http://dummyimage.com/167x100.png/5fa2dd/ffffff,"[""Drama""]"
416,Savage Grace,79,1989,Portugal,"Legros, Williamson and Beier",http://dummyimage.com/170x100.png/5fa2dd/ffffff,"[""Crime"",""Drama""]"
417,"Land Before Time, The",197,1976,Czech Republic,Powlowski Inc,http://dummyimage.com/144x100.png/ff4444/ffffff,"[""Adventure"",""Animation"",""Children"",""Fantasy""]"
418,"Edge of Love, The",42,1971,Russia,Braun-Jenkins,http://dummyimage.com/227x100.png/cc0000/ffffff,"[""Drama"",""Romance"",""War""]"
419,Memphis Belle,90,1984,China,"Hilll, Howe and Durgan",http://dummyimage.com/120x100.png/5fa2dd/ffffff,"[""Action"",""Drama"",""War""]"
420,Irma Vep,35,1979,Macedonia,Hyatt LLC,http://dummyimage.com/223x100.png/cc0000/ffffff,"[""Comedy"",""Drama""]"
421,Bob the Butler,59,2005,Brazil,Kuhic Inc,http://dummyimage.com/100x100.png/ff4444/ffffff,"[""Comedy""]"
422,Shoeshine (Sciuscià),54,1979,Portugal,Bode and Sons,http://dummyimage.com/249x100.png/cc0000/ffffff,"[""Drama""]"
423,Ghost from the Machine (Phasma Ex Machina),110,2017,Poland,"Swift, Ziemann and Gerhold",http://dummyimage.com/154x100.png/cc0000/ffffff,"[""Sci-Fi""]"
424,My Man Godfrey,186,2007,China,Bode-Stamm,http://dummyimage.com/210x100.png/dddddd/000000,"[""Comedy"",""Romance""]"
425,Brainstorm (Bicho de Sete Cabeças),114,2015,Indonesia,Klocko-Cronin,http://dummyimage.com/202x100.png/dddddd/000000,"[""Drama""]"
426,Hair,81,1966,Kenya,Streich LLC,http://dummyimage.com/165x100.png/dddddd/000000,"[""Comedy"",""Drama"",""Musical""]"
427,Giuseppe Makes a Movie,29,1967,China,Heidenreich Group,http://dummyimage.com/220x100.png/ff4444/ffffff,"[""Documentary""]"
428,Under the Sand,38,1993,China,"Skiles, Bailey and Heidenreich",http://dummyimage.com/218x100.png/dddddd/000000,"[""Drama""]"
429,Little Hamlet,94,1995,Vietnam,"Lang, Brown and Johnston",http://dummyimage.com/167x100.png/5fa2dd/ffffff,"[""(no genres listed)""]"
430,American Raspberry (Prime Time) (Funny America),28,1964,Syria,Sipes and Sons,http://dummyimage.com/111x100.png/dddddd/000000,"[""Comedy""]"
431,Sword of the Beast (Kedamono no ken),80,2016,Wallis and Futuna,"Beier, Kuvalis and Collier",http://dummyimage.com/202x100.png/ff4444/ffffff,"[""Action"",""Drama""]"
432,Lone Wolf and Cub: Baby Cart in Peril (Kozure Ôkami: Oya no kokoro ko no kokoro),160,1990,Niger,Haley-Murray,http://dummyimage.com/151x100.png/5fa2dd/ffffff,"[""Action""]"
433,Psycho,83,2001,China,Crist LLC,http://dummyimage.com/186x100.png/ff4444/ffffff,"[""Crime"",""Horror"",""Thriller""]"
434,Innocence,50,1963,Indonesia,Hudson Inc,http://dummyimage.com/244x100.png/ff4444/ffffff,"[""Adventure"",""Fantasy"",""Horror""]"
435,Whatever Works,74,1984,Costa Rica,Lueilwitz and Sons,http://dummyimage.com/146x100.png/ff4444/ffffff,"[""Comedy"",""Romance""]"
436,Sidekicks,93,2006,United States,"Littel, Leuschke and Nitzsche",http://dummyimage.com/114x100.png/cc0000/ffffff,"[""Action"",""Adventure"",""Children"",""Comedy""]"
437,Marked for Death,97,1952,Argentina,"McKenzie, Bernhard and Blick",http://dummyimage.com/232x100.png/5fa2dd/ffffff,"[""Action"",""Drama""]"
438,Rahtree: Flower of the Night (Buppha Rahtree),70,1986,Philippines,Considine-Schmidt,http://dummyimage.com/103x100.png/dddddd/000000,"[""Comedy"",""Drama"",""Horror"",""Thriller""]"
439,"Sentinel, The",26,1988,Czech Republic,Turner-Yost,http://dummyimage.com/169x100.png/ff4444/ffffff,"[""Crime"",""Drama"",""Thriller""]"
440,"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The)",120,1982,Indonesia,"Jacobi, Runolfsdottir and Kris",http://dummyimage.com/201x100.png/cc0000/ffffff,"[""Drama"",""War""]"
441,Knights of the Round Table,152,1986,Greece,"Armstrong, Nolan and Ullrich",http://dummyimage.com/210x100.png/cc0000/ffffff,"[""Adventure"",""Drama""]"
442,Army Brats (Schatjes!),36,1978,Ecuador,Wintheiser-Little,http://dummyimage.com/212x100.png/5fa2dd/ffffff,"[""Children"",""Comedy""]"
443,"Song of Ceylon, The",116,1982,Spain,Jacobi and Sons,http://dummyimage.com/130x100.png/5fa2dd/ffffff,"[""Documentary""]"
444,"Keeping the Promise (Sign of the Beaver, The)",129,2024,Japan,"Cassin, Gulgowski and Bernhard",http://dummyimage.com/166x100.png/ff4444/ffffff,"[""Children"",""Drama""]"
445,"Misérables, Les",157,1990,Yemen,"Friesen, Torphy and Corwin",http://dummyimage.com/245x100.png/cc0000/ffffff,"[""Drama"",""Romance""]"
446,Four Flies on Grey Velvet,140,1996,France,Rosenbaum-Beer,http://dummyimage.com/228x100.png/dddddd/000000,"[""Horror"",""Mystery"",""Thriller""]"
447,If These Walls Could Talk,29,1982,Russia,Bartell Group,http://dummyimage.com/154x100.png/ff4444/ffffff,"[""Drama""]"
448,"Red Bear, A (Un oso rojo)",110,1961,Poland,McDermott Group,http://dummyimage.com/214x100.png/dddddd/000000,"[""Crime"",""Drama"",""Thriller""]"
449,Nice Guys Sleep Alone,42,1980,Philippines,"Lesch, Heller and Lemke",http://dummyimage.com/172x100.png/5fa2dd/ffffff,"[""Comedy"",""Romance""]"
450,Old Joy,138,1985,Pakistan,Hahn Group,http://dummyimage.com/226x100.png/dddddd/000000,"[""Drama""]"
451,The Lost Squadron,52,1962,Poland,Zboncak and Sons,http://dummyimage.com/128x100.png/5fa2dd/ffffff,"[""(no genres listed)""]"
452,"Easy Riders, Raging Bulls: How the Sex, Drugs and Rock 'N' Roll Generation Saved Hollywood",186,1979,Mauritius,Corkery and Sons,http://dummyimage.com/130x100.png/ff4444/ffffff,"[""Documentary""]"
453,Eros,94,2020,China,Wyman-Strosin,http://dummyimage.com/104x100.png/ff4444/ffffff,"[""Drama""]"
454,Shine,175,1962,Russia,Heaney Inc,http://dummyimage.com/195x100.png/5fa2dd/ffffff,"[""Drama"",""Romance""]"
455,Stevie Nicks: Live at Red Rocks,156,2015,Portugal,"Kertzmann, Rath and Gulgowski",http://dummyimage.com/245x100.png/5fa2dd/ffffff,"[""Documentary"",""Musical""]"
456,"Last of the High Kings, The (a.k.a. Summer Fling)",146,2008,China,Cronin-Schuster,http://dummyimage.com/183x100.png/dddddd/000000,"[""Comedy"",""Drama""]"
457,Laaga Chunari Mein Daag: Journey of a Woman,174,1965,Philippines,Beatty Inc,http://dummyimage.com/128x100.png/dddddd/000000,"[""Drama""]"
458,Amarcord,120,1956,Greece,Jaskolski Group,http://dummyimage.com/113x100.png/dddddd/000000,"[""Comedy"",""Drama""]"
459,Waiting For Armageddon,165,1971,Slovenia,"Brekke, Strosin and Reinger",http://dummyimage.com/163x100.png/cc0000/ffffff,"[""Documentary""]"
460,Crossover,165,1963,South Korea,Wunsch-Beier,http://dummyimage.com/214x100.png/ff4444/ffffff,"[""Action"",""Drama""]"
461,American Revolutionary: The Evolution of Grace Lee Boggs,129,2006,Indonesia,"Vandervort, Labadie and Schmidt",http://dummyimage.com/219x100.png/5fa2dd/ffffff,"[""Documentary""]"
462,Is Anybody There?,159,1994,Poland,"Daniel, Adams and Bernhard",http://dummyimage.com/117x100.png/dddddd/000000,"[""Drama""]"
463,Once Upon a Time (Der var engang),182,2004,Russia,Olson Group,http://dummyimage.com/151x100.png/cc0000/ffffff,"[""Romance""]"
464,One Magic Christmas,138,1992,China,Wintheiser LLC,http://dummyimage.com/185x100.png/5fa2dd/ffffff,"[""Drama"",""Fantasy""]"
465,"Young and Prodigious T.S. Spivet, The (L'extravagant voyage du jeune et prodigieux T.S. Spivet)",86,1993,Nigeria,"Cole, Legros and Sporer",http://dummyimage.com/208x100.png/5fa2dd/ffffff,"[""Adventure"",""Children"",""Drama""]"
466,"Wounds, The (Rane)",114,1958,Haiti,"Spencer, Murphy and Cronin",http://dummyimage.com/143x100.png/cc0000/ffffff,"[""Comedy"",""Crime"",""Drama"",""War""]"
467,"Enforcer, The (Gei ba ba de xin)",130,1986,Sweden,Kertzmann-Lehner,http://dummyimage.com/153x100.png/ff4444/ffffff,"[""Action""]"
468,"Awakening, The",25,1971,Luxembourg,"Luettgen, Konopelski and Cole",http://dummyimage.com/206x100.png/cc0000/ffffff,"[""Horror""]"
469,Crooks in Clover (a.k.a. Monsieur Gangster) (Les tontons flingueurs),115,2021,China,Grady-Feil,http://dummyimage.com/179x100.png/5fa2dd/ffffff,"[""Action"",""Comedy"",""Crime""]"
470,"Gatekeepers, The",83,1992,Indonesia,"Jacobson, Wunsch and Goyette",http://dummyimage.com/128x100.png/cc0000/ffffff,"[""Documentary""]"
471,I Am Number Four,25,2016,Sweden,Cole-Waters,http://dummyimage.com/194x100.png/ff4444/ffffff,"[""Action"",""Sci-Fi"",""Thriller"",""IMAX""]"
472,Diner,48,2024,China,Ward-Feil,http://dummyimage.com/203x100.png/cc0000/ffffff,"[""Comedy"",""Drama""]"
473,When Ladies Meet,47,1956,China,Kerluke-Bayer,http://dummyimage.com/166x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama"",""Romance""]"
474,Salsa,179,1978,Brazil,Stanton LLC,http://dummyimage.com/188x100.png/ff4444/ffffff,"[""Musical"",""Romance""]"
475,Bebe's Kids,29,2014,Thailand,Dibbert Group,http://dummyimage.com/149x100.png/dddddd/000000,"[""Animation"",""Children"",""Comedy""]"
476,"Night They Raided Minsky's, The (Night They Invented Striptease, The)",142,1959,Democratic Republic of the Congo,Emmerich Group,http://dummyimage.com/121x100.png/cc0000/ffffff,"[""Comedy""]"
477,Clubland (a.k.a. Introducing the Dwights),59,2001,China,"Von, Wunsch and Kuhic",http://dummyimage.com/178x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama""]"
478,The Princess of Egypt,117,1963,China,Okuneva and Sons,http://dummyimage.com/167x100.png/ff4444/ffffff,"[""Drama""]"
479,Under the Cherry Moon,95,1971,China,"Jacobs, Kautzer and Walter",http://dummyimage.com/125x100.png/dddddd/000000,"[""Comedy"",""Drama"",""Musical"",""Romance""]"
480,Filth,83,1950,China,Kerluke Inc,http://dummyimage.com/216x100.png/5fa2dd/ffffff,"[""Comedy"",""Crime"",""Drama""]"
481,"Kentucky Fried Movie, The",153,2005,Croatia,Yost-Kuhlman,http://dummyimage.com/175x100.png/cc0000/ffffff,"[""Comedy""]"
482,"Curiosity of Chance, The",175,2020,China,"Morar, Larkin and Gleason",http://dummyimage.com/242x100.png/ff4444/ffffff,"[""Comedy""]"
483,Spetters,92,1979,Poland,Turner-Schoen,http://dummyimage.com/167x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama""]"
484,Submarino,96,1985,Guatemala,Tremblay and Sons,http://dummyimage.com/163x100.png/ff4444/ffffff,"[""Drama""]"
485,Fracture,187,2013,Indonesia,"Marvin, Macejkovic and Legros",http://dummyimage.com/236x100.png/cc0000/ffffff,"[""Crime"",""Drama"",""Mystery"",""Thriller""]"
486,Zone Troopers,51,2002,Indonesia,"Lang, Corwin and Roob",http://dummyimage.com/171x100.png/cc0000/ffffff,"[""Action"",""Sci-Fi"",""War""]"
487,Yrrol: An Enormously Well Thought Out Movie (Yrrol - en kolossalt genomtänkt film),178,2003,Afghanistan,Upton and Sons,http://dummyimage.com/183x100.png/cc0000/ffffff,"[""Comedy""]"
488,Chocolate Strawberry Vanilla,186,2021,France,Osinski LLC,http://dummyimage.com/106x100.png/cc0000/ffffff,"[""Comedy"",""Drama""]"
489,Animal Farm,126,1998,China,"Wintheiser, Lebsack and Marquardt",http://dummyimage.com/121x100.png/ff4444/ffffff,"[""Animation"",""Drama""]"
490,We Steal Secrets: The Story of WikiLeaks,158,1956,France,"Emard, Larson and Parisian",http://dummyimage.com/193x100.png/ff4444/ffffff,"[""Documentary""]"
491,"Exercice de l'État, L'",152,1954,Brazil,Stracke Group,http://dummyimage.com/139x100.png/dddddd/000000,"[""Drama""]"
492,Executive Target,186,2020,United States,"Pacocha, Keebler and Green",http://dummyimage.com/189x100.png/dddddd/000000,"[""Action"",""Adventure"",""Crime"",""Thriller""]"
493,Enough Said,143,1952,Indonesia,Bruen Group,http://dummyimage.com/141x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama"",""Romance""]"
494,Stoker,139,1983,Indonesia,Rolfson LLC,http://dummyimage.com/124x100.png/ff4444/ffffff,"[""Drama"",""Mystery"",""Thriller""]"
495,Not Forgotten,41,1995,Moldova,"Koch, Gulgowski and Braun",http://dummyimage.com/111x100.png/5fa2dd/ffffff,"[""Thriller""]"
496,Decasia: The State of Decay,196,1994,Portugal,Beahan-Beer,http://dummyimage.com/175x100.png/ff4444/ffffff,"[""Documentary""]"
497,Shoppen ,82,1970,Slovenia,Towne LLC,http://dummyimage.com/247x100.png/ff4444/ffffff,"[""Comedy"",""Romance""]"
498,Viola,132,1978,Indonesia,"MacGyver, Pacocha and Hegmann",http://dummyimage.com/171x100.png/cc0000/ffffff,"[""Drama""]"
499,I Was an Adventuress,187,1984,China,Douglas-Kassulke,http://dummyimage.com/245x100.png/ff4444/ffffff,"[""Comedy"",""Crime""]"
500,Leave,57,1965,Honduras,"Toy, Wuckert and Kilback",http://dummyimage.com/135x100.png/cc0000/ffffff,"[""Drama"",""Thriller""]"
501,Four Flies on Grey Velvet,42,1969,Russia,Marvin Inc,http://dummyimage.com/114x100.png/5fa2dd/ffffff,"[""Horror"",""Mystery"",""Thriller""]"
502,No Regrets for Our Youth (Waga seishun ni kuinashi),99,1965,Chile,"Schmitt, Hirthe and Nader",http://dummyimage.com/172x100.png/dddddd/000000,"[""Drama""]"
503,Seconds Apart ,197,1984,Finland,Gusikowski LLC,http://dummyimage.com/237x100.png/5fa2dd/ffffff,"[""Horror"",""Thriller""]"
504,Nurse Betty,78,1994,China,"Collins, Schroeder and Wunsch",http://dummyimage.com/186x100.png/cc0000/ffffff,"[""Comedy"",""Crime"",""Drama"",""Romance"",""Thriller""]"
505,"Troll Hunter, The (Trolljegeren)",110,2018,Indonesia,"Conroy, Langworth and Hammes",http://dummyimage.com/162x100.png/cc0000/ffffff,"[""Fantasy"",""Horror""]"
506,The Savior,113,1981,Japan,Harber LLC,http://dummyimage.com/227x100.png/cc0000/ffffff,"[""Drama""]"
507,Tristan & Isolde,27,1973,Indonesia,Leffler-Leffler,http://dummyimage.com/190x100.png/dddddd/000000,"[""Drama"",""Romance""]"
508,"King - Jari Litmanen, The (Kuningas Litmanen)",15,1967,Indonesia,Gutkowski Inc,http://dummyimage.com/202x100.png/ff4444/ffffff,"[""Documentary""]"
509,Unfaithfully Yours,157,2013,Peru,Spencer-Bergstrom,http://dummyimage.com/169x100.png/5fa2dd/ffffff,"[""Comedy"",""Romance""]"
510,God’s Wedding (As Bodas de Deus),35,2002,Sudan,"Lynch, Huel and Olson",http://dummyimage.com/136x100.png/cc0000/ffffff,"[""Comedy""]"
511,Sphere,162,1987,Indonesia,Grady and Sons,http://dummyimage.com/236x100.png/5fa2dd/ffffff,"[""Sci-Fi"",""Thriller""]"
512,Sybil,34,1963,Austria,Labadie and Sons,http://dummyimage.com/117x100.png/cc0000/ffffff,"[""Drama""]"
513,Sacrificio: Who Betrayed Che Guevara,159,1982,Poland,Stamm-VonRueden,http://dummyimage.com/126x100.png/5fa2dd/ffffff,"[""Documentary""]"
514,Elvis Meets Nixon,193,2018,Philippines,Prohaska Group,http://dummyimage.com/202x100.png/cc0000/ffffff,"[""Comedy"",""Drama""]"
515,"House I Live In, The",110,1952,France,"Ledner, Ryan and DuBuque",http://dummyimage.com/218x100.png/5fa2dd/ffffff,"[""Documentary""]"
516,"Misérables, Les",28,2019,Brazil,Ward and Sons,http://dummyimage.com/213x100.png/dddddd/000000,"[""Drama"",""Romance""]"
517,"Barber, The",172,2007,Poland,Mraz-Wolff,http://dummyimage.com/142x100.png/dddddd/000000,"[""Crime"",""Horror"",""Mystery"",""Thriller""]"
518,Good News,87,1954,United States,"Reichert, Okuneva and Bruen",http://dummyimage.com/247x100.png/dddddd/000000,"[""Comedy"",""Musical"",""Romance""]"
519,Homegrown,41,2020,Ireland,Stamm LLC,http://dummyimage.com/247x100.png/dddddd/000000,"[""Comedy"",""Thriller""]"
520,"Paper Chase, The",34,2006,North Korea,Jones-Prosacco,http://dummyimage.com/116x100.png/ff4444/ffffff,"[""Drama""]"
521,"Broken Circle Breakdown, The",52,1962,Colombia,"Hessel, Cassin and Friesen",http://dummyimage.com/158x100.png/5fa2dd/ffffff,"[""Drama""]"
522,"I Love You, Man",48,1983,Peru,"Jenkins, Farrell and Pouros",http://dummyimage.com/117x100.png/cc0000/ffffff,"[""Comedy""]"
523,Con Air,15,1977,China,Boyer-Fay,http://dummyimage.com/141x100.png/5fa2dd/ffffff,"[""Action"",""Adventure"",""Thriller""]"
524,The Boy Who Cried Werewolf,200,1976,Portugal,"Lehner, West and Pouros",http://dummyimage.com/106x100.png/dddddd/000000,"[""Children"",""Horror""]"
525,Black Death,104,2010,Ukraine,Ondricka LLC,http://dummyimage.com/182x100.png/cc0000/ffffff,"[""Adventure"",""Drama"",""Horror"",""Mystery""]"
526,Cimarron,70,2023,United States,"Kshlerin, Ruecker and Schowalter",http://dummyimage.com/112x100.png/5fa2dd/ffffff,"[""Drama"",""Western""]"
527,Conflict,150,2001,Moldova,Jacobs Inc,http://dummyimage.com/205x100.png/cc0000/ffffff,"[""Drama"",""Film-Noir""]"
528,"Luck, Trust & Ketchup: Robert Altman in Carver Country",169,2017,Canada,Lebsack Group,http://dummyimage.com/206x100.png/5fa2dd/ffffff,"[""Documentary""]"
529,Varg Veum - Bitter Flowers (Varg Veum - Bitre Blomster),114,1952,Ukraine,Terry-Langworth,http://dummyimage.com/210x100.png/5fa2dd/ffffff,"[""Crime"",""Drama"",""Thriller""]"
530,Niko & the Way to the Stars (a.k.a. The Flight Before Christmas) (Niko - Lentäjän poika),29,1951,Indonesia,Lang and Sons,http://dummyimage.com/213x100.png/5fa2dd/ffffff,"[""Adventure"",""Animation"",""Children"",""Drama"",""Fantasy""]"
531,"Search for One-eye Jimmy, The",90,1961,Gambia,Leffler and Sons,http://dummyimage.com/147x100.png/5fa2dd/ffffff,"[""Comedy""]"
532,Four Horsemen,144,2022,Brazil,"Oberbrunner, Medhurst and Leffler",http://dummyimage.com/209x100.png/cc0000/ffffff,"[""Documentary""]"
533,Tol'able David,30,1950,Philippines,D'Amore Inc,http://dummyimage.com/107x100.png/5fa2dd/ffffff,"[""Drama""]"
534,Viva María!,165,1962,Argentina,Crooks-Senger,http://dummyimage.com/100x100.png/dddddd/000000,"[""Adventure"",""Comedy"",""Western""]"
